Amplitude - Plot 0,Amplitude - Plot 1
6.86389,-3.93197
6.54022,-2.08769
8.33703,-1.32741
11.9022,-3.69139
21.4169,-1.07338
15.2576,0.473117
30.284,-1.03715
20.427,-0.236828
23.5115,-1.94041
30.157,-0.482243
27.8923,1.72797
35.4717,1.57587
32.2787,3.37494
47.5538,2.41587
32.7152,2.26459
38.6893,3.15276
25.485,5.88464
24.2726,3.15146
24.7536,5.42643
27.8859,6.2492
18.9553,3.69296
18.0148,4.41919
10.7429,3.61288
8.28688,5.26307
1.33477,5.10575
5.08247,2.66216
1.92547,3.79835
-8.72686,2.71893
-23.8938,3.54181
-17.7166,2.23946
-18.5073,1.2468
-26.8976,1.13893
-35.5166,1.38883
-20.4193,0.124843
-31.6981,0.13507
-27.304,1.67733
-39.1808,-0.609967
-32.6021,-0.386637
-32.1249,0.243397
-32.2788,-1.36492
-21.322,-2.1621
-34.2366,-1.97698
-24.1302,-2.90099
-22.9,-1.76056
-21.2446,-4.80448
-17.588,-3.66849
-19.9934,-4.53306
-8.4773,-3.67576
-4.64085,-4.47188
-10.6982,-1.88402
6.53303,-3.37061
13.5232,-2.55696
17.1645,-2.55551
10.8574,0.340536
16.8878,-0.444699
12.0474,-0.850023
23.5857,-2.22626
21.9923,-0.0289009
36.3966,-0.374707
32.3749,0.0210698
37.2663,1.47418
32.85,3.66633
33.0628,0.494468
34.8997,0.986331
31.1933,2.16007
32.8906,3.5301
35.3592,4.00793
27.5346,2.34384
37.2063,3.2465
24.4945,4.70407
14.5279,6.17587
10.9803,1.99708
13.969,3.82461
3.65797,2.41058
-0.415215,3.31336
-4.59304,1.17145
-9.04821,1.38808
-8.41184,2.12476
-16.409,0.808636
-29.0497,-0.240653
-14.5066,0.433095
-14.3166,0.0565953
-32.3361,-0.24313
-42.5505,-1.66274
-17.2203,-0.229077
-27.1895,-1.56697
-34.1137,-2.51953
-38.7249,-3.03444
-20.6801,-3.57065
-40.4257,-3.41353
-33.0516,-4.40206
-39.9552,-4.45219
-35.2732,-4.44896
-26.5184,-4.15975
-19.0212,-3.47593
-16.7662,-3.92695
-28.0303,-4.57502
-13.0757,-5.54438
-6.89448,-5.20078
7.86501,-3.57414
7.42245,-1.62974
3.20524,-1.4711
12.0344,-2.89631
11.38,-1.12415
26.252,-2.37557
24.2829,-1.20422
21.9921,-1.66819
30.6664,0.259333
34.8499,0.512032
33.6523,0.196556
45.7675,1.45644
36.2118,2.17243
24.1044,2.8022
35.5505,2.0691
37.2412,3.66803
27.8522,2.84822
41.2164,3.92746
33.2865,4.53801
31.6314,5.38022
22.518,4.52125
19.2497,4.99615
20.313,5.28287
18.4234,6.30159
7.78079,3.82473
2.52712,3.86622
-0.290786,3.11084
-8.36232,3.69777
-7.48741,3.13726
-11.4218,2.98084
-7.07758,1.64109
-22.7421,2.03862
-33.3571,2.56693
-35.1351,2.28377
-22.0428,0.449105
-35.0263,-0.505424
-38.867,0.465732
-37.2028,-1.81893
-41.4819,-1.32291
-34.326,-1.37975
-34.3435,-2.1127
-36.6823,-0.882869
-34.2365,-2.70132
-22.8253,-2.64414
-26.4613,-3.78212
-28.8817,-5.39368
-17.2232,-4.45601
-16.5956,-2.7257
-9.59074,-2.50618
-15.4439,-1.47279
3.57612,-3.53141
-13.2634,-2.92736
-1.4867,-1.40031
11.3823,0.0937201
14.8054,-3.07465
15.3822,-1.48222
25.855,-0.938236
20.0821,-0.849488
34.8361,0.186286
32.7523,-0.95571
42.3979,-1.60822
35.8293,2.70473
30.8772,-0.477468
40.6272,1.76444
39.445,1.99461
28.2387,2.91905
38.8054,3.72623
22.8102,3.88364
22.4074,4.51421
23.506,2.75511
20.1113,4.83267
27.8391,4.43021
12.943,4.76611
13.4765,3.79237
4.76522,2.06317
4.28388,1.2982
-1.60697,2.03764
-8.90225,-0.31144
-5.30788,2.17173
-22.7168,-0.450114
-13.4183,0.781079
-18.8724,0.806888
-29.4572,-1.41992
-26.267,-1.63873
-30.412,-1.45751
-35.3853,-2.22525
-35.1406,-1.80725
-38.037,-3.08433
-36.0576,-2.38
-39.7728,-4.08954
-42.5845,-5.29011
-31.9655,-4.32911
-33.5843,-2.60395
-30.6887,-4.94498
-27.5674,-4.47505
-30.9474,-7.97965
-23.2299,-5.04611
-24.4855,-5.14293
-16.862,-3.92535
-3.23595,-4.5671
-12.1244,-5.83681
-3.402,-3.98793
4.17389,-3.61859
7.87099,-2.26587
15.6981,-2.30308
17.489,-1.59766
26.0093,-2.34464
33.2606,-0.817862
29.1666,-0.608343
25.0853,-0.37687
29.5652,1.05222
31.4646,2.6217
33.8621,1.3403
29.5707,1.31022
31.9538,2.5022
31.0182,1.65371
36.7828,3.42528
30.0841,4.20411
37.8999,4.30481
36.0617,6.24214
22.1156,4.77798
16.2931,6.66329
20.9709,5.09801
12.9455,3.52604
7.72616,4.93678
-1.73135,2.99402
4.56174,2.14118
-12.8434,3.98337
0.457909,2.98823
-17.1466,2.35397
-20.1937,1.33523
-16.1039,0.792142
-21.4162,1.00768
-28.8101,1.61747
-32.7558,0.315218
-24.6859,1.35004
-29.7499,1.12045
-21.2614,0.231941
-30.4883,-0.555671
-18.9619,-0.932766
-28.0083,-3.21409
-30.2498,-2.73166
-31.063,-2.57716
-29.4621,-3.41139
-36.2604,-3.90373
-27.3843,-4.94899
-23.5906,-3.18615
-21.6466,-4.78042
-7.34285,-2.99122
-12.2411,-3.36756
-1.7875,-2.17675
10.0956,-2.66334
12.5631,-2.47866
4.46231,-0.66443
7.61782,-3.32683
15.3749,-1.70576
22.4963,0.414045
28.0985,-1.06452
35.2801,-1.46779
33.6565,-0.781852
31.8861,1.52873
18.0782,3.89076
33.2419,1.1725
32.5273,1.7864
32.6305,0.586829
36.3981,2.21021
27.1998,3.49321
28.8689,2.31701
34.9339,4.64526
32.6649,4.8501
19.6188,4.07578
21.9963,3.39759
3.96906,4.58594
10.389,3.10799
10.6275,3.71654
11.8686,5.49937
-6.27461,3.74785
-15.9894,0.154542
-11.2708,0.130392
-26.3065,0.747421
-21.8334,-0.162733
-22.3551,0.179535
-33.505,0.132379
-27.2615,-2.03993
-34.6495,-2.04399
-22.7344,-1.70237
-33.1482,-2.79429
-28.4885,-1.4616
-36.8918,-2.62008
-40.9001,-3.69185
-31.5253,-3.72217
-36.2107,-4.71227
-33.0961,-7.26528
-38.2525,-3.89225
-22.2344,-5.77072
-21.5936,-5.39002
-16.4388,-6.04028
-23.5531,-4.48235
-12.7694,-5.97438
-18.629,-4.60942
0.520003,-3.92205
0.345972,-3.73861
4.17105,-2.51658
18.0373,-2.35374
13.8298,-4.20207
17.9847,-2.35365
17.7098,-0.934566
23.516,0.696433
29.2657,-1.39943
34.9371,0.496201
33.166,0.787656
28.8113,2.32123
33.4218,1.42215
32.9263,1.37571
40.0828,3.11559
35.6205,1.75358
25.9632,3.33551
23.1537,3.65872
32.8674,5.29702
23.2312,4.31141
22.3203,5.15471
16.741,5.96763
24.5486,5.64102
6.89166,4.94479
-1.72558,3.20661
6.50185,5.59043
0.740542,4.57232
-5.20831,4.04013
-4.64253,4.09371
0.583311,3.65276
-11.6916,2.21101
-20.5193,0.765463
-15.3092,1.43452
-29.931,0.449348
-24.2601,2.46722
-32.4644,-0.315035
-33.7184,-0.453724
-44.3954,-1.52164
-33.5524,-1.45695
-28.2844,-0.675488
-27.7407,-2.74528
-35.0658,-2.12354
-24.5274,-2.6477
-18.9196,-1.30523
-30.1615,-5.14658
-23.5899,-2.24837
-13.8684,-4.83037
-13.0064,-4.90235
-14.4504,-3.06357
-1.10973,-3.35243
4.73881,-1.04009
2.13658,-2.54111
6.51286,-1.58803
14.8185,-0.620714
12.7567,-1.0172
14.7399,-2.64753
28.1486,-0.577766
26.9517,0.624054
24.1209,-1.13317
22.3139,0.251931
39.8679,-0.420907
36.4509,0.189457
34.2808,2.46827
37.4398,0.808987
39.4494,1.66063
25.895,2.95339
37.8615,2.11781
27.4165,2.70887
20.4069,4.18951
27.5786,3.61191
24.2218,4.52593
14.4963,4.03426
18.4379,3.80334
11.849,4.08091
12.6727,3.36164
-2.18166,2.8596
-9.0701,3.3667
-1.28922,2.58773
-13.9534,0.68483
-8.22672,0.808445
-18.874,0.225925
-23.8238,0.558866
-22.6134,-0.192092
-32.4579,-1.36303
-29.2969,-1.67234
-35.9299,-1.16514
-30.3068,-3.74429
-42.9075,-3.17952
-43.0843,-2.43652
-32.6738,-1.89866
-42.0128,-3.64741
-37.6523,-3.0399
-31.0436,-4.70637
-35.5377,-5.59158
-26.6421,-7.4378
-19.8637,-5.44493
-22.7834,-4.51535
-18.425,-5.14232
-21.0505,-5.19985
-6.03045,-4.2973
-5.10265,-5.1214
-1.38221,-3.80539
-0.119953,-2.02047
10.4169,-2.72396
11.3978,-1.99964
22.461,-1.4897
12.8607,-2.24588
13.314,-2.15216
27.8524,0.670556
28.6481,2.01695
32.1051,1.08865
27.6838,2.21492
32.561,2.789
37.8649,2.157
34.8567,0.946967
40.2924,3.20655
36.429,3.05205
24.6911,3.11805
40.1773,3.61364
21.8107,4.08891
31.0679,4.53381
19.1568,5.06528
23.2145,6.43871
9.76756,1.64714
15.3273,3.63053
1.44104,3.89903
-0.190812,2.41126
-1.4051,3.60102
-14.797,2.98702
-14.7065,3.35287
-21.6178,2.4517
-15.9184,1.35464
-17.7962,1.73741
-32.1552,-0.0207837
-17.0913,0.607588
-33.2494,0.959355
-28.5709,2.4708
-33.5349,-1.05956
-34.2478,-1.65494
-36.5545,-0.223262
-34.6431,-0.660279
-26.1471,-2.16324
-36.7989,-1.03578
-25.6339,-3.32468
-14.6815,-3.38555
-28.1999,-4.22159
-15.5981,-2.8088
-14.3619,-5.83016
-13.2428,-3.13221
-17.3223,-5.11435
-8.83942,-4.64473
-0.059136,-2.05044
5.49188,-1.31953
14.4002,-1.46664
13.2672,-1.67144
20.9852,-1.78026
29.3528,-0.109383
24.2657,-0.268829
25.0592,-0.227751
28.7371,0.252339
31.5292,-0.523245
32.1976,3.41971
33.139,1.28606
26.4452,2.36307
38.6425,2.21565
28.7777,1.7354
24.3808,2.15557
31.4734,3.20222
25.369,3.97286
26.7773,4.30149
26.6605,4.02146
21.5727,3.14444
17.0435,3.48633
9.92421,3.20737
2.59033,4.14154
6.67314,3.19666
-0.528688,1.52094
-11.4314,2.58867
-16.7606,0.101181
-15.1527,0.801355
-16.4395,0.135474
-22.6644,-0.606741
-25.5301,-1.0445
-22.1012,0.545253
-29.3546,-0.151872
-33.2066,-2.42712
-30.8709,-0.598784
-36.2722,-2.51072
-37.6539,-1.81645
-39.1,-1.39708
-34.3392,-3.4785
-39.4739,-4.49007
-41.6468,-4.57326
-32.435,-4.77098
-28.7544,-5.99639
-27.806,-7.40123
-10.79,-3.93045
-21.0151,-5.55107
-20.6083,-5.21987
-7.79264,-4.60458
-7.51952,-4.63467
9.66499,-3.98526
6.92996,-3.28243
4.03221,-2.18301
4.08009,-3.55242
19.5372,-1.14261
17.5389,-1.18292
26.6219,-0.771467
33.9191,0.281957
30.1901,-0.680672
37.1387,-0.367432
34.5956,1.41455
30.7477,0.164231
39.8563,1.38387
30.9089,2.56748
30.7009,3.9586
31.8463,3.17458
42.0301,2.46231
30.5937,4.92179
27.4067,6.4859
24.0258,4.84708
23.129,5.97715
13.5316,4.84513
8.03677,3.06601
14.5709,5.09258
6.66642,3.80573
4.49211,3.55347
-11.7551,4.75982
2.66117,3.70377
-22.0342,3.21719
-18.9017,2.86766
-18.1828,2.51464
-31.5671,1.36764
-20.1799,3.0034
-29.5568,0.947948
-28.06,2.22354
-30.2039,0.0649719
-44.0783,-0.00625972
-39.0568,-1.15054
-34.6772,-1.68784
-28.8087,-1.29595
-26.0071,-3.39662
-34.3395,-2.26444
-22.9807,-3.74124
-21.5669,-2.75791
-14.5633,-3.83851
-24.9751,-4.492
-8.91284,-3.71554
-12.2054,-3.94456
-7.03709,-1.92922
-4.05168,-1.78154
-4.91366,-1.95237
5.09586,-1.91358
12.2165,-2.03399
9.09056,-2.14673
22.9305,-0.356922
16.7166,-1.77842
16.2907,-0.235011
29.452,-0.103165
25.0096,1.73351
29.5239,0.313486
40.4922,0.879419
40.1486,1.93134
31.6433,2.70669
40.0217,3.34915
33.99,3.5104
31.8237,3.18002
30.7756,2.47363
31.1829,4.90471
22.0785,3.74086
23.4593,4.8239
17.8394,4.46817
13.4015,4.98938
11.6139,4.5182
7.89126,1.55903
-1.94836,2.6886
1.18432,6.18369
1.98323,0.926182
-14.0684,1.0248
-9.93135,0.986466
-7.43093,0.184278
-22.4443,0.218538
-25.6965,-0.666483
-27.9185,-0.250146
-28.7539,-2.6422
-20.5432,-0.324424
-37.0064,-2.18203
-45.7597,-2.49623
-32.9477,-2.31319
-40.403,-1.764
-33.7875,-3.37094
-37.8464,-3.90116
-25.2729,-5.05238
-32.1422,-3.61812
-29.159,-5.56525
-26.2043,-8.03826
-22.5919,-5.76723
-11.7682,-5.08883
-17.1938,-4.76944
-5.7979,-5.86216
11.2963,-2.99538
-1.66549,-2.42368
6.80189,-4.36983
14.9753,-2.3098
12.4974,-0.609972
16.2987,-1.5824
29.1924,-1.628
17.1675,-0.462969
24.8501,0.290305
24.081,0.903608
32.9219,0.769351
28.5694,1.4614
40.8757,0.534933
30.3789,1.92019
31.7327,3.58645
27.9517,5.1136
31.5715,2.86763
27.9012,5.46216
25.2807,6.13514
33.0668,3.99939
26.9945,6.54791
18.1882,4.97673
18.8393,5.05897
8.15005,5.26444
5.94883,6.53923
8.07138,2.67313
-8.04576,4.77107
-4.44456,1.9919
-9.0534,4.00557
-3.09303,3.21845
-3.52995,2.0469
-19.7982,2.16209
-25.3622,0.269503
-28.7792,1.92041
-29.8252,0.617776
-24.1409,0.561986
-32.3929,-0.831133
-35.7743,-1.09147
-40.1898,-1.36879
-28.8438,-1.18335
-34.9493,-1.84007
-31.4164,-3.40224
-30.3673,-2.29058
-26.9565,-3.68914
-22.1382,-4.8022
-18.0179,-4.96986
-11.4252,-3.47934
-18.2667,-3.62186
-8.31431,-4.21366
-11.7972,-3.27758
-18.3781,-3.63902
7.37307,-3.25809
-1.01737,-2.01987
12.3025,-2.83858
19.5672,-1.32398
